p_num,p_na,p_ty,p_rad,p_ad,p_lat,p_lon,p_ce_na,p_pho,p_ce_ad
46770-00011,덤벙분청공원,문화공원,전라남도 고흥군 두원면 분청문화박물관길 99,전라남도 고흥군 두원면 운대리 141-1,34.62782423,127.3244711,전라남도 고흥군,061-830-5257,전라남도 고흥군
46770-00012,나로낭만공원,문화공원,전라남도 고흥군 봉래면 축정2길 75-5,전라남도 고흥군 봉래면 신금리 산 392-1,34.46456795,127.454644,전라남도 고흥군,061-830-5849,전라남도 고흥군
46770-00013,역사문화공원,역사공원,전라남도 고흥군 고흥읍 후동길 16,전라남도 고흥군 고흥읍 옥하리 200-8,34.61182397,127.285828,전라남도 고흥군,061-830-5257,전라남도 고흥군
46770-00014,수변노을공원,수변공원,nan,전라남도 고흥군 도덕면 용동리  산 13,34.6435739,127.197867,전라남도 고흥군,061-830-5887,전라남도 고흥군
46770-00015,봉동어린이공원,어린이공원,전라남도 고흥군 고흥읍 봉동주공길 22,전라남도 고흥군 고흥읍 남계리 717-4,34.60635931,127.2896735,전라남도 고흥군,061-830-5887,전라남도 고흥군
46770-00016,남계택지어린이공원,어린이공원,nan,전라남도 고흥군 고흥읍 남계리 1071,34.6052841,127.278506,전라남도 고흥군,061-830-5887,전라남도 고흥군
46770-00017,녹동어린이공원,어린이공원,전라남도 고흥군 도양읍 동문길 12-26,전라남도 고흥군 도양읍 봉암리 2043,34.53026052,127.1342831,전라남도 고흥군,061-830-5887,전라남도 고흥군
46770-00018,대봉1어린이공원,어린이공원,전라남도 고흥군 도양읍 녹동신항8길 21-6,전라남도 고흥군 도양읍 봉암리 3894,34.52780795,127.1431619,전라남도 고흥군,061-830-5887,전라남도 고흥군
47280-00005,모전1공원(개나리공원),어린이공원,경상북도 문경시 시청2길 21,경상북도 문경시 모전동 863,36.5869501,128.1883339,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00006,모전2-1공원(장미공원),어린이공원,경상북도 문경시 당교3길 25,경상북도 문경시 모전동 865-4,36.58447542,128.1893287,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00007,여중1공원(아침도시공원),어린이공원,경상북도 문경시 여중3길 12,경상북도 문경시 모전동 953-4,36.59701023,128.1884389,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00008,여중2공원,어린이공원,경상북도 문경시 반쟁이3길 29,경상북도 문경시 모전동 964,36.59382533,128.1897488,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00009,여중3공원(반쟁이공원),어린이공원,경상북도 문경시 반쟁이3길 29,경상북도 문경시 모전동 977,36.59382533,128.1897488,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00010,모전2-2공원,어린이공원,경상북도 문경시 당교3길 60,경상북도 문경시 모전동 1148,36.58454754,128.1854276,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00011,모전1공원(모전1-1공원),어린이공원,경상북도 문경시 당교3길 25,경상북도 문경시 모전동 1267,36.58447542,128.1893287,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00012,흥덕어린이공원,어린이공원,경상북도 문경시 흥덕5길 24,경상북도 문경시 흥덕동 338-1,36.60490254,128.2022128,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00013,동부공원,어린이공원,경상북도 문경시 신흥7길 9,경상북도 문경시 흥덕동 769,36.6043513,128.2073881,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00014,흥덕2공원,어린이공원,경상북도 문경시 신흥2길 35-7,경상북도 문경시 흥덕동 787-1,36.60130525,128.2068661,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00015,흥덕3공원,어린이공원,경상북도 문경시 신흥3길 10,경상북도 문경시 흥덕동 805,36.6004514,128.2038001,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00022,왕능1공원,어린이공원,경상북도 문경시 가은읍 가은2길 38,경상북도 문경시 가은읍 왕능리 275-9,36.64720698,128.0602275,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00024,모전공원,근린공원,경상북도 문경시 매봉1길 38,경상북도 문경시 모전동 산30-2,36.589082,128.1863387,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00025,모전5-2공원,어린이공원,경상북도 문경시 매봉로 84-9,경상북도 문경시 모전동 690-11,36.59022608,128.1822915,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00026,모전3공원(새마을공원),어린이공원,경상북도 문경시 매봉6길 9,경상북도 문경시 모전동 922-3,36.58579737,128.1806137,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00027,모전4공원,어린이공원,경상북도 문경시 당교7길 19,경상북도 문경시 모전동 938-3,36.58233254,128.1815832,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00028,문창공원,어린이공원,경상북도 문경시 문창길 7-6,경상북도 문경시 점촌동 385-4,36.60177627,128.1995176,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00029,소공원1,소공원,경상북도 문경시 주평5길 33,경상북도 문경시 신기동 1119,36.64467718,128.1761578,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00030,소공원2,소공원,경상북도 문경시 신기산단2길 10,경상북도 문경시 신기동 1137,36.64230756,128.1790247,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
47280-00031,중앙공원,문화공원,경상북도 문경시 신흥로 77,경상북도 문경시 점촌동 121,36.58892814,128.1976169,경상북도 문경시청 도시과,054-550-6346,경상북도 문경시
44770-25030,용당공원,소공원,nan,충청남도 서천군 장항읍 원수리 927-2,36.006113,126.704992,충청남도 서천군청,041-950-4438,충청남도 서천군
44770-25028,(산단)1호,어린이공원,nan,충청남도 서천군 장항읍 옥남리 520,36.040527,126.668613,충청남도 서천군청,041-950-4438,충청남도 서천군
44770-25028,(산단)2호,어린이공원,nan,충청남도 서천군 장항읍 옥남리 산3,36.035863,126.671152,충청남도 서천군청,041-950-4438,충청남도 서천군
42730-00027,우천집단마을소공원,소공원,nan,강원도 횡성군 우천면 우항리 754-6,37.458779,128.0642526,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00026,우천면소공원,소공원,nan,강원도 횡성군 우천면 법주리 719,37.45098853,128.0613181,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00025,횡성읍소공원,소공원,nan,강원도 횡성군 횡성읍 읍하리 395-6,37.495821,127.982893,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00024,안흥어린이공원3호,어린이공원,강원도 횡성군 안흥면 안흥동4길 28,강원도 횡성군 안흥면 안흥리 36-57,37.4087134,128.1583467,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00023,안흥어린이공원2호,어린이공원,nan,강원도 횡성군 안흥면 안흥리 63-2,37.41191206,128.1590615,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00022,안흥어린이공원18호,어린이공원,nan,강원도 횡성군 안흥면 안흥리 1060-1,37.412335,128.155568,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00021,어린이공원(횡성역사),어린이공원,nan,강원도 횡성군 횡성읍 생운리 63-9,37.48422797,128.0092912,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00020,둔내어린이공원5호,어린이공원,nan,강원도 횡성군 둔내면 둔방내리 585-1,37.514124,128.2117014,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00019,둔내어린이공원4호,어린이공원,nan,강원도 횡성군 둔내면 둔방내리 590-2,37.5121623,128.210642,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00018,횡성어린이공원20호,어린이공원,nan,강원도 횡성군 횡성읍 읍상리 646,37.48721207,127.992982,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00017,횡성어린이공원19호,어린이공원,nan,강원도 횡성군 횡성읍 읍상리 621,37.489181,127.993326,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00016,횡성어린이공원17호,어린이공원,nan,강원도 횡성군 횡성읍 읍하리 166,37.48938262,127.9790385,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00015,횡성어린이공원16호,어린이공원,nan,강원도 횡성군 횡성읍 읍하리 528-1,37.49448755,127.9879243,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00014,횡성어린이공원15호,어린이공원,nan,강원도 횡성군 횡성읍 읍하리 490,37.496922,127.9860188,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00013,횡성어린이공원14호,어린이공원,강원도 횡성군 횡성읍 입석로14번길 26-4,강원도 횡성군 횡성읍 입석리 172-4,37.4784564,127.9826341,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00012,횡성어린이공원12호,어린이공원,nan,강원도 횡성군 횡성읍 읍상리 668,37.486387,127.9864875,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00011,횡성어린이공원11호,어린이공원,nan,강원도 횡성군 횡성읍 읍하리 570,37.48795412,127.983077,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00010,횡성어린이공원8호,어린이공원,nan,강원도 횡성군 횡성읍 읍상리 545,37.48811107,127.9866832,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00009,횡성어린이공원7호,어린이공원,강원도 횡성군 횡성읍 한우로242번길 6,강원도 횡성군 횡성읍 읍하리 351-8,37.4922077,127.9820784,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00008,횡성어린이공원5호,어린이공원,강원도 횡성군 횡성읍 북천서로 10,강원도 횡성군 횡성읍 북천리 115-191,37.49271911,127.9903796,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00007,횡성어린이공원3호,어린이공원,강원도 횡성군 횡성읍 성북로 10,강원도 횡성군 횡성읍 읍상리 596,37.4902337,127.991871,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00006,둔내근린공원8호,근린공원,강원도 횡성군 둔내면 둔방로 14번길 69-3,강원도 횡성군 둔내면 둔방내리 198-2,37.5156806,128.2099556,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00005,우천근린공원6호,근린공원,nan,강원도 횡성군 우천면 우항리 393-5,37.447921,128.0756133,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00004,우천근린공원5호,근린공원,강원도 횡성군 우천면 수남로 302,강원도 횡성군 우천면 양적리 산24,37.460232,128.0595521,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
43113-00111,근린공원7(환호공원),근린공원,nan,충청북도 청주시 흥덕구 오송읍 만수리 499,36.381105,127.203169,충청북도 청주시 푸른도시사업본부 공원관리과,043-201-4433,충청북도 청주시
43113-00112,낙원공원(91호),근린공원,nan,충청북도 청주시 흥덕구 봉명동 193-6,36.6414457191,127.4571804148,충청북도 청주시 푸른도시사업본부 공원관리과,043-201-4433,충청북도 청주시
43113-00113,푸르미공원(95호),근린공원,nan,충청북도 청주시 흥덕구 휴암동 335-1,36.371375,127.241894,충청북도 청주시 푸른도시사업본부 공원관리과,043-201-4433,충청북도 청주시
43113-00114,제29호소공원,소공원,nan,충청북도 청주시 흥덕구 복대동230-23,36.637542,127.441211,충청북도 청주시 푸른도시사업본부 공원관리과,043-201-4433,충청북도 청주시
43113-00115,호죽1,소공원,nan,충청북도 청주시 흥덕구 옥산면 호죽리 957,36.413264,127.215826,충청북도 청주시 푸른도시사업본부 공원관리과,043-201-4433,충청북도 청주시
43113-00116,옥산공원,근린공원,nan,충청북도 청주시 흥덕구 옥산면 가락리 산63-3,36.401253,127.225355,충청북도 청주시 푸른도시사업본부 공원관리과,043-201-4433,충청북도 청주시
43113-00117,오송,소공원,nan,충청북도 청주시 흥덕구 강외면 오송리 42,36.362798,127.195151,충청북도 청주시 푸른도시사업본부 공원관리과,043-201-4433,충청북도 청주시
43113-00118,청솔,소공원,nan,충청북도 청주시 흥덕구 강외면 봉산리 612-5,36.605828,127.307251,충청북도 청주시 푸른도시사업본부 공원관리과,043-201-4433,충청북도 청주시
43113-00119,76호소공원,소공원,nan,충청북도 청주시 흥덕구 복대동 216-3,36.6361953472,127.4376328,충청북도 청주시 푸른도시사업본부 공원관리과,043-201-4433,충청북도 청주시
43113-00120,77호소공원,소공원,nan,충청북도 청주시 흥덕구 복대동 78-22,36.637676,127.447374,충청북도 청주시 푸른도시사업본부 공원관리과,043-201-4433,충청북도 청주시
43113-00121,무당벌레,어린이공원,nan,충청북도 청주시 흥덕구 옥산면 가락리 265,36.6727732936,127.3914711307,충청북도 청주시 푸른도시사업본부 공원관리과,043-201-4435,충청북도 청주시
43113-00122,울림,어린이공원,nan,충청북도 청주시 흥덕구 옥산면 가락리 265,36.6727732936,127.3914711307,충청북도 청주시 푸른도시사업본부 공원관리과,043-201-4435,충청북도 청주시
42730-00031,학담소공원,소공원,nan,강원도 횡성군 공근면 학담리 880,37.537006,127.962535,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00030,학담어린이공원,소공원,nan,강원도 횡성군 공근면 학담리 855-4,37.53695681,127.961459,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00029,횡성읍수변공원,소공원,nan,강원도 횡성군 횡성읍 읍하리 476-27,37.486601,127.9711657,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
42730-00028,우천일반산업단지소공원,소공원,nan,강원도 횡성군 우천면 상하가리 496,37.4907904,128.061526,강원도 횡성군청 도시행정과,033-340-2472,강원특별자치도 횡성군
41250-00013,생연3어린이공원,어린이공원,경기도 동두천시 동두천로 177,경기도 동두천시 생연동 715-3,37.89748181,127.0545819,경기도 동두천시청 공원녹지과,031-860-2416,경기도 동두천시
41390-00071,연꽃공원,어린이공원,nan,경기도 시흥시 하상동 367,37.39567434,126.8109963,경기도 시흥시청,031-310-3872,경기도 시흥시
41390-00072,하상공원,어린이공원,경기도 시흥시 하상로 14-9,경기도 시흥시 하상동 372,37.39183522,126.813879,경기도 시흥시청,031-310-3872,경기도 시흥시
41390-00073,새재공원,어린이공원,경기도 시흥시 시청로72번길 25-6,경기도 시흥시 장현동 529-1,37.38267479,126.801305,경기도 시흥시청,031-310-3872,경기도 시흥시
41390-00074,매꼴공원,어린이공원,nan,경기도 시흥시 장곡동 798-2,37.38116792,126.780663,경기도 시흥시청,031-310-3872,경기도 시흥시
41390-00075,진말공원,어린이공원,nan,경기도 시흥시 장곡동 825-2,37.37804654,126.7874296,경기도 시흥시청,031-310-3872,경기도 시흥시
41390-00076,장곡공원,어린이공원,경기도 시흥시 진말로19번길 13,경기도 시흥시 장곡동 815,37.37901167,126.784077,경기도 시흥시청,031-310-3872,경기도 시흥시
41390-00077,새싹공원,어린이공원,nan,경기도 시흥시 장곡동 796,37.38092325,126.7825507,경기도 시흥시청,031-310-3872,경기도 시흥시
41390-00078,나래솔공원,근린공원,경기도 시흥시 엠티브이26로 41,경기도 시흥시 정왕동 2606-3,37.323213,126.704112,경기도 시흥시청,031-310-3862,경기도 시흥시
41390-00079,하늬공원,근린공원,경기도 시흥시 시화호수전원2길 58,경기도 시흥시 정왕동 2795,37.31709175,126.700533,경기도 시흥시청,031-310-3865,경기도 시흥시
11530-00032,골목,어린이공원,nan,서울특별시 구로구 고척동 224-3,37.507017,126.853545,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00033,도레미,어린이공원,nan,서울특별시 구로구 고척동 331-1,37.508017,126.852322,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00034,꿈마을,어린이공원,nan,서울특별시 구로구 구로동 777-1,37.487173,126.8901545,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00035,환경,어린이공원,nan,서울특별시 구로구 구로동 797-1,37.48502191,126.888408,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00036,희망,어린이공원,nan,서울특별시 구로구 구로동 745-74,37.48703809,126.886243,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00037,삼각,어린이공원,nan,서울특별시 구로구 구로동 47,37.50135772,126.8920128,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00038,삭새,어린이공원,nan,서울특별시 구로구 궁동 237-6,37.496337,126.825012,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00039,수른,어린이공원,nan,서울특별시 구로구 궁동 279-6,37.49794413,126.829601,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00040,온수,어린이공원,nan,서울특별시 구로구 온수동 73-5,37.494631,126.8177077,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00041,화원,어린이공원,nan,서울특별시 구로구 구로동 478-1,37.49791653,126.8804405,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00042,신도림,어린이공원,nan,서울특별시 구로구 신도림동 646-1,37.51070916,126.8883753,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00043,구로리,어린이공원,nan,서울특별시 구로구 구로동 139-82,37.4904165,126.891578,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00044,애경,어린이공원,nan,서울특별시 구로구 구로동 501-22,37.500156,126.8846598,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00045,미래사랑,어린이공원,nan,서울특별시 구로구 신도림동 314-2,37.50984705,126.8890762,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00046,솔길,어린이공원,nan,서울특별시 구로구 구로동 391-1,37.48918401,126.8804792,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00047,오동나무,어린이공원,nan,서울특별시 구로구 오류동 353-4,37.485594,126.838383,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00048,버들,어린이공원,nan,서울특별시 구로구 천왕동 277-14,37.48155019,126.8406417,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00049,이펜시아,어린이공원,nan,서울특별시 구로구 천왕동 2-5,37.483092,126.8473137,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00050,와룡,소공원,nan,서울특별시 구로구 온수동 155-3,37.4979921,126.8214922,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00051,갈매,소공원,nan,서울특별시 구로구 온수동 155-4,37.49669974,126.8228085,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00052,개봉동과장미,소공원,nan,서울특별시 구로구 개봉동 345-14,37.48810124,126.854735,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00053,무궁화,소공원,nan,서울특별시 구로구 고척동 341-2,37.50495918,126.8650559,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00054,구로동(다울),소공원,nan,서울특별시 구로구 구로동 1286-1,37.49253575,126.888217,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00055,현화,소공원,nan,서울특별시 구로구 고척동 342-1,37.50432419,126.8600969,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00056,개봉,소공원,nan,"서울특별시 구로구 개봉동 492-1,-2",37.49958755,126.849609,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11530-00057,천왕역,소공원,nan,서울특별시 구로구 천왕동 13-56,37.48530509,126.8400322,서울특별시 구로구청,02-860-3090,서울특별시 구로구
11470-00037,꿀벌,어린이공원,nan,서울특별시 양천구 신월4동 531,37.519986,126.842014,서울특별시 양천구청 공원녹지과,02-2620-4565,서울특별시 양천구
11470-00038,당곡,어린이공원,nan,서울특별시 양천구 신월4동 542,37.518649,126.840006,서울특별시 양천구청 공원녹지과,02-2620-4565,서울특별시 양천구
11470-00039,당뒤,어린이공원,nan,서울특별시 양천구 신월5동 13-1,37.541496,126.828616,서울특별시 양천구청 공원녹지과,02-2620-4565,서울특별시 양천구
11470-00040,방아다리,어린이공원,nan,서울특별시 양천구 신월5동 56-1,37.538641,126.828308,서울특별시 양천구청 공원녹지과,02-2620-4565,서울특별시 양천구
11470-00041,송죽,어린이공원,nan,서울특별시 양천구 신월5동 65,37.539399,126.833858,서울특별시 양천구청 공원녹지과,02-2620-4565,서울특별시 양천구
11470-00042,신오,어린이공원,nan,서울특별시 양천구 신월5동 73-2,37.538178,126.831469,서울특별시 양천구청 공원녹지과,02-2620-4565,서울특별시 양천구
11470-00043,강월,어린이공원,nan,서울특별시 양천구 신월6동 1004,37.515639,126.836422,서울특별시 양천구청 공원녹지과,02-2620-4565,서울특별시 양천구
11470-00044,강신,어린이공원,nan,서울특별시 양천구 신월6동 1012-2,37.515669,126.838421,서울특별시 양천구청 공원녹지과,02-2620-4565,서울특별시 양천구
11470-00045,아동,어린이공원,nan,서울특별시 양천구 신월7동 922-1,37.523024,126.833504,서울특별시 양천구청 공원녹지과,02-2620-4565,서울특별시 양천구
11470-00046,한울,근린공원,nan,서울특별시 양천구 신월7동 956,37.519698,126.832681,서울특별시 양천구청 공원녹지과,02-2620-3576,서울특별시 양천구
11470-00047,오솔길,근린공원,nan,서울특별시 양천구 신월7동 977,37.521068,126.836526,서울특별시 양천구청 공원녹지과,02-2620-4569,서울특별시 양천구
11470-00048,금실,어린이공원,nan,서울특별시 양천구 신월7동 985,37.518409,126.837199,서울특별시 양천구청 공원녹지과,02-2620-4565,서울특별시 양천구
11470-00049,독서,근린공원,nan,서울특별시 양천구 신월7동 987,37.519783,126.834992,서울특별시 양천구청 공원녹지과,02-2620-3576,서울특별시 양천구
11470-00050,신월,근린공원,nan,서울특별시 양천구 신월7동 987-2,37.517521,126.833892,서울특별시 양천구청 공원녹지과,02-2620-3576,서울특별시 양천구
11470-00051,곰달래,근린공원,nan,서울특별시 양천구 신월7동 904-1,37.524918,126.833053,서울특별시 양천구청 공원녹지과,02-2620-4569,서울특별시 양천구
11470-00052,양지,근린공원,nan,서울특별시 양천구 신월7동 936,37.522204,126.830867,서울특별시 양천구청 공원녹지과,02-2620-4569,서울특별시 양천구
11470-00053,온수도시자연공원,도시농업공원,nan,서울특별시 양천구 신월동 산85-4 일대,37.505895,126.840021,서울특별시 양천구청 공원녹지과,02-2620-4563,서울특별시 양천구
11470-00054,해태,어린이공원,nan,서울특별시 양천구 신정1동 1017-5,37.521748,126.862147,서울특별시 양천구청 공원녹지과,02-2620-3581,서울특별시 양천구
11470-00055,양명,어린이공원,nan,서울특별시 양천구 신정1동 1050-3,37.519271,126.854392,서울특별시 양천구청 공원녹지과,02-2620-3581,서울특별시 양천구
11470-00056,신트리,근린공원,nan,서울특별시 양천구 신정1동 310-7,37.514686,126.856359,서울특별시 양천구청 공원녹지과,02-2620-3574,서울특별시 양천구
11470-00057,꿈나무,어린이공원,nan,서울특별시 양천구 신정1동 311-1,37.517641,126.858518,서울특별시 양천구청 공원녹지과,02-2620-3581,서울특별시 양천구
11470-00058,개나리,어린이공원,nan,서울특별시 양천구 신정1동 312-2,37.517709,126.862844,서울특별시 양천구청 공원녹지과,02-2620-3581,서울특별시 양천구
11470-00059,꽃사과,어린이공원,nan,서울특별시 양천구 신정1동 313-2,37.520069,126.864623,서울특별시 양천구청 공원녹지과,02-2620-3581,서울특별시 양천구
11470-00060,단지,어린이공원,nan,서울특별시 양천구 신정1동 1033-18,37.519694,126.854131,서울특별시 양천구청 공원녹지과,02-2620-3581,서울특별시 양천구
11470-00061,신정,어린이공원,nan,서울특별시 양천구 신정2동 128-198,37.520437,126.874778,서울특별시 양천구청 공원녹지과,02-2620-3581,서울특별시 양천구
11470-00062,신세계,어린이공원,nan,서울특별시 양천구 신정2동 119-3,37.521691,126.875895,서울특별시 양천구청 공원녹지과,02-2620-3581,서울특별시 양천구
11470-00063,꽃사슴,어린이공원,nan,서울특별시 양천구 신정3동 1195,37.521702,126.848443,서울특별시 양천구청 공원녹지과,02-2620-3581,서울특별시 양천구
11470-00064,학마을,어린이공원,nan,서울특별시 양천구 신정3동 1293-4,37.508919,126.843669,서울특별시 양천구청 공원녹지과,02-2620-3581,서울특별시 양천구
26260-00018,한길소공원,소공원,nan,부산광역시 동래구 사직동 1045,35.19792059,129.0666585,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00019,여고소공원,소공원,nan,부산광역시 동래구 사직동 1043,35.19792059,129.0666585,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00021,소공원(복산1주택재개발),소공원,부산광역시 동래구 동래로159번길 109-13,부산광역시 동래구 칠산동 51-1,35.207669,129.092689,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00022,소공원(안락1주택재건축),소공원,nan,부산광역시 동래구 명장동 152-4,35.201863,129.109632,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00023,소공원(안락1주택재건축),소공원,부산광역시 동래구 안락로125번길 35,부산광역시 동래구 안락동 466-1,35.200624,129.110977,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00024,소공원(사직1주택재건축),소공원,부산광역시 동래구 석사로33번길 51,부산광역시 동래구 사직동 15-1,35.20130207,129.0609885,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00025,대명소공원,소공원,nan,부산광역시 동래구 명장동 508-81,35.21130193,129.0983911,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00026,신정소공원,소공원,nan,부산광역시 동래구 사직동 1044,35.196715,129.0666314,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00027,명서공원,어린이공원,부산광역시 동래구 명서로 111,부산광역시 동래구 명장동 506-3,35.212224,129.100218,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00028,세실공원,어린이공원,nan,부산광역시 동래구 명장동 506-18,35.209175,129.100539,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00029,안락꽃밭공원,어린이공원,nan,부산광역시 동래구 안락동 171-8,35.19099348,129.112504,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00030,연안꽃동산공원,어린이공원,nan,부산광역시 동래구 낙민동 80,35.19394139,129.091889,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00031,온천어린이공원,어린이공원,nan,부산광역시 동래구 온천동 387-10,35.214377,129.072262,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00032,온천3동공원,어린이공원,부산광역시 동래구 아시아드대로 220번길 34,부산광역시 동래구 온천동 1379-1,35.202827,129.068595,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00033,미남공원,어린이공원,부산광역시 동래구 석사북로 93,부산광역시 동래구 온천동 1236-10,35.205742,129.066217,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00044,화현공원,어린이공원,nan,부산광역시 동래구 명장동 611-2,35.200824,129.106906,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00034,사직놀이공원,어린이공원,nan,부산광역시 동래구 사직동 54-2,35.200807,129.063638,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00035,사직한밭공원,어린이공원,nan,부산광역시 동래구 사직동 16-7,35.19990711,129.059145,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00036,단비동산공원,어린이공원,부산광역시 동래구 석사로18번길 31,부산광역시 동래구 사직동 74-17,35.19779575,129.063094,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00037,안락꿈돌이공원,어린이공원,nan,부산광역시 동래구 안락동 455-8,35.199551,129.106137,부산광역시 동래구청,051-550-4511,부산광역시 동래구
26260-00038,명장한마음공원,어린이공원,부산광역시 동래구 명안로78번길 9,부산광역시 동래구 명장동 136-13,35.203709,129.104858,부산광역시 동래구청,051-550-4511,부산광역시 동래구
